,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0,0.0,0.023809523809523808,0.2764227642276423,0.0,0.037037037037037035,0.037900874635568516,0.02197802197802198,0.10179640718562874,0.25,0.06956521739130435,0.09395973154362416,0.0,0.012345679012345678,0.0,0.02197802197802198,0.027210884353741496,0.08333333333333333,0.054054054054054064,0.02631578947368421,0.1308411214953271,0.0
1,0.125,0.023809523809523808,0.13821138211382114,0.0,0.0925925925925926,0.03498542274052478,0.17582417582417584,0.25149700598802394,0.0,0.19130434782608696,0.03355704697986577,0.0,0.012345679012345678,0.05882352941176471,0.16483516483516486,0.0,0.08333333333333333,0.0,0.02631578947368421,0.14953271028037382,0.0
2,0.125,0.023809523809523808,0.016260162601626018,0.0,0.061728395061728385,0.01749271137026239,0.21978021978021975,0.09580838323353294,0.0,0.11304347826086955,0.0,0.0,0.012345679012345678,0.05882352941176471,0.15384615384615385,0.0,0.0,0.0,0.02631578947368421,0.037383177570093455,0.0
3,0.0,0.0,0.016260162601626018,0.0,0.018518518518518517,0.02915451895043732,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1176470588235294,0.0,0.020408163265306117,0.08333333333333333,0.2702702702702703,0.05263157894736842,0.0,0.14285714285714285
4,0.125,0.011904761904761904,0.04878048780487805,0.0,0.2962962962962963,0.0728862973760933,0.10989010989010987,0.08982035928143713,0.0,0.0782608695652174,0.020134228187919462,0.0,0.12345679012345677,0.1176470588235294,0.13186813186813187,0.054421768707482984,0.08333333333333333,0.08108108108108109,0.07894736842105263,0.04672897196261682,0.0
5,0.0,0.13095238095238096,0.032520325203252036,0.2,0.04938271604938271,0.12244897959183673,0.0,0.0,0.0,0.008695652173913044,0.15436241610738255,0.06666666666666668,0.0,0.0,0.0,0.3401360544217687,0.08333333333333333,0.08108108108108109,0.0,0.009345794392523364,0.07142857142857142
6,0.125,0.16666666666666666,0.10569105691056913,0.2,0.15432098765432098,0.3381924198250729,0.06593406593406594,0.0718562874251497,0.25,0.0782608695652174,0.19463087248322147,0.13333333333333333,0.2469135802469136,0.17647058823529413,0.08791208791208792,0.2857142857142857,0.25,0.2702702702702703,0.2894736842105263,0.11214953271028036,0.2857142857142857
7,0.125,0.023809523809523808,0.016260162601626018,0.0,0.07407407407407407,0.023323615160349854,0.15384615384615385,0.08982035928143713,0.0,0.09565217391304348,0.0,0.0,0.02469135802469136,0.05882352941176471,0.2307692307692308,0.0,0.0,0.0,0.0,0.018691588785046728,0.0
8,0.0,0.03571428571428571,0.06504065040650407,0.0,0.05555555555555555,0.026239067055393587,0.14285714285714285,0.1317365269461078,0.0,0.24347826086956526,0.0,0.0,0.037037037037037035,0.05882352941176471,0.12087912087912088,0.006802721088435374,0.0,0.0,0.0,0.06542056074766353,0.0
9,0.0,0.011904761904761904,0.0,0.2,0.0,0.002915451895043732,0.0,0.0,0.0,0.0,0.006711409395973154,0.0,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.011661807580174929,0.0,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.006802721088435374,0.0,0.054054054054054064,0.05263157894736842,0.0,0.2857142857142857
11,0.0,0.03571428571428571,0.0,0.0,0.0,0.005830903790087464,0.0,0.0,0.0,0.0,0.013422818791946308,0.3333333333333333,0.0,0.0,0.0,0.006802721088435374,0.0,0.0,0.0,0.018691588785046728,0.0
